...1,state.abb,state.name,id,geo_id,year,name,category,total_liabilities,current_liabilities,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,total_assets,current_assets,compensated_absences,expenses,revenues,unrestricted,population,urban_pop,pct_urban_pop,median_hh_income_21,url
1,CA,California,31687,06037,2020,los angeles county,General Purpose,52768946000,5617736000,11560668000,0,25921499000,0,37390440000,0,2072486000,28398515000,29454082000,-33831196000,10014042,9924789,0.991090481344684,77356,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles%20County/CA%20Los%20Angeles%20County%202020.pdf
2,CA,California,31687,06037,2021,los angeles county,General Purpose,64141944000,6834441000,17394887000,0,29368129000,0,41203426000,0,2305374000,32179943000,31698208000,-35003556000,10014042,9924789,0.991090481344684,77356,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles%20County/CA%20Los%20Angeles%20County%202021.pdf
3,CA,California,31687,06037,2022,los angeles county,General Purpose,54844462000,8634894000,7030463000,0,26997560000,0,48205324000,7427935000,2307992000,30987889000,33326577000,-33200043000,10014042,9924789,0.991090481344684,77356,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles%20County/CA%20Los%20Angeles%20County%202022.pdf
5,IL,Illinois,1035781,17031,2020,cook county,General Purpose,21176754633,1385238463,13580982590,0,1900989370,0,4885774017,0,122331764,5655529321,6061200953,-15644347985,5275522,5272651,0.999452188884514,72063,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Cook%20County/IL%20Cook%20County%202020.pdf
6,IL,Illinois,1035781,17031,2021,cook county,General Purpose,23004219360,1740684456,14984908546,0,2105154520,0,5642933604,0,119196084,6636292827,6797965119,-15516699569,5275522,5272651,0.999452188884514,72063,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Cook%20County/IL%20Cook%20County%202021.pdf
7,IL,Illinois,1035781,17031,2022,cook county,General Purpose,19531125441,2561432196,10837262892,0,1978062391,0,7405552453,5233687434,115773815,6881055379,7984980380,-14600046550,5275522,5272651,0.999452188884514,72063,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IL/Cook%20County/IL%20Cook%20County%202022.pdf
9,TX,Texas,1265423,48201,2020,harris county,General Purpose,8947139580,660408855,470596852,134778,2733774269,0,20564102118,0,48806862,3599520889,4137326161,-690677178,4731129,4677507,0.988662786703853,63539,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Harris%20County/TX%20Harris%20County%202020.pdf
10,TX,Texas,1265423,48201,2021,harris county,General Purpose,10515266381,1035427458,725190179,114259,3473489714,0,21172043513,0,47393178,4496693342,4159884770,0,4731129,4677507,0.988662786703853,63539,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Harris%20County/TX%20Harris%20County%202021.pdf
11,TX,Texas,1265423,48201,2022,harris county,General Purpose,10592080708,1265164404,0,253423134,3922333666,0,21827793919,2566935622,52367328,4590488836,4479142642,0,4731129,4677507,0.988662786703853,63539,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Harris%20County/TX%20Harris%20County%202022.pdf
13,AZ,Arizona,31617,04013,2020,maricopa county,General Purpose,2834203888,553067960,1876917812,0,3209316,16637315,6308842833,0,0,2226634981,2499817863,-719229338,4420574,4318689,0.976953414131397,76230,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Maricopa%20County/AZ%20Maricopa%20County%202020.pdf
14,AZ,Arizona,31617,04013,2021,maricopa county,General Purpose,3153531275,759547144,2061212073,0,6798975,18133053,6798224324,0,0,2563125904,2918143070,0,4420574,4318689,0.976953414131397,76230,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Maricopa%20County/AZ%20Maricopa%20County%202021.pdf
15,AZ,Arizona,31617,04013,2022,maricopa county,General Purpose,3610787387,1051665015,1626366174,0,0,49909693,8144014585,3942456333,0,2534230280,3045885768,-109817297,4420574,4318689,0.976953414131397,76230,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AZ/Maricopa%20County/AZ%20Maricopa%20County%202022.pdf
17,CA,California,31710,06073,2020,san diego county,General Purpose,6570540000,945099000,3790434000,0,106033000,0,8897009000,0,128010000,5176994000,5306058000,0,3298635,3153671,0.956053627046832,90756,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego%20County/CA%20San%20Diego%20County%202020.pdf
18,CA,California,31710,06073,2021,san diego county,General Purpose,7621970000,1342602000,4478532000,0,92006000,0,9566441000,0,140382000,5889572000,5933947000,0,3298635,3153671,0.956053627046832,90756,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego%20County/CA%20San%20Diego%20County%202021.pdf
19,CA,California,31710,06073,2022,san diego county,General Purpose,5680147000,1535468000,2246673000,0,71147000,0,10423386000,5470933000,138845000,5340993000,6027232000,-1099216000,3298635,3153671,0.956053627046832,90756,https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego%20County/CA%20San%20Diego%20County%202022.pdf
